,expiry,date,strike,id,type,path,is_atm
197,20170322,20170109,2200,10000827,C,E:/Pycharm/data/option_data\20170322\20170109\2200\10000827C\10000827vols_data.csv,0
198,20170322,20170109,2250,10000680,P,E:/Pycharm/data/option_data\20170322\20170109\2250\10000680P\10000680vols_data.csv,0
199,20170322,20170109,2300,10000792,P,E:/Pycharm/data/option_data\20170322\20170109\2300\10000792P\10000792vols_data.csv,1
200,20170322,20170109,2350,10000793,P,E:/Pycharm/data/option_data\20170322\20170109\2350\10000793P\10000793vols_data.csv,0
201,20170322,20170109,2200,10000828,P,E:/Pycharm/data/option_data\20170322\20170109\2200\10000828P\10000828vols_data.csv,0
202,20170628,20170109,2250,10000729,C,E:/Pycharm/data/option_data\20170628\20170109\2250\10000729C\10000729vols_data.csv,0
203,20170628,20170109,2300,10000797,C,E:/Pycharm/data/option_data\20170628\20170109\2300\10000797C\10000797vols_data.csv,1
204,20170628,20170109,2350,10000798,C,E:/Pycharm/data/option_data\20170628\20170109\2350\10000798C\10000798vols_data.csv,0
205,20170628,20170109,2400,10000799,C,E:/Pycharm/data/option_data\20170628\20170109\2400\10000799C\10000799vols_data.csv,0
206,20170628,20170109,2450,10000800,C,E:/Pycharm/data/option_data\20170628\20170109\2450\10000800C\10000800vols_data.csv,0
207,20170628,20170109,2500,10000801,C,E:/Pycharm/data/option_data\20170628\20170109\2500\10000801C\10000801vols_data.csv,0
208,20170628,20170109,2200,10000829,C,E:/Pycharm/data/option_data\20170628\20170109\2200\10000829C\10000829vols_data.csv,0
209,20170628,20170109,2250,10000734,P,E:/Pycharm/data/option_data\20170628\20170109\2250\10000734P\10000734vols_data.csv,0
210,20170628,20170109,2300,10000802,P,E:/Pycharm/data/option_data\20170628\20170109\2300\10000802P\10000802vols_data.csv,1
211,20170628,20170109,2350,10000803,P,E:/Pycharm/data/option_data\20170628\20170109\2350\10000803P\10000803vols_data.csv,0
212,20170628,20170109,2200,10000830,P,E:/Pycharm/data/option_data\20170628\20170109\2200\10000830P\10000830vols_data.csv,0
213,20170125,20170110,2250,10000749,C,E:/Pycharm/data/option_data\20170125\20170110\2250\10000749C\10000749vols_data.csv,0
214,20170125,20170110,2300,10000777,C,E:/Pycharm/data/option_data\20170125\20170110\2300\10000777C\10000777vols_data.csv,1
215,20170125,20170110,2350,10000778,C,E:/Pycharm/data/option_data\20170125\20170110\2350\10000778C\10000778vols_data.csv,0
216,20170125,20170110,2400,10000779,C,E:/Pycharm/data/option_data\20170125\20170110\2400\10000779C\10000779vols_data.csv,0
217,20170125,20170110,2450,10000780,C,E:/Pycharm/data/option_data\20170125\20170110\2450\10000780C\10000780vols_data.csv,0
218,20170125,20170110,2500,10000781,C,E:/Pycharm/data/option_data\20170125\20170110\2500\10000781C\10000781vols_data.csv,0
