,date,tomorrow_bid1,OptionPrice,tomorrow_delta_cost,tomorrow_vega_cost,volume,profit,cum_profit
186,2018-03-13,0.0109,0.0124881,-0.0,-2.652288461538461e-07,-66.5,-0.10562628771826925,89.11891552057762
187,2018-03-13,0.0109,0.0124881,-0.0,-2.652288461538461e-07,-14.25,-0.022634204511057694,89.09628131606655
188,2018-03-13,0.0109,0.0124881,-0.0,-2.652288461538461e-07,-14.25,-0.022634204511057694,89.07364711155549
189,2018-03-14,0.0037,0.00615511,-0.0,-1.242419230769231e-07,-35.0,-0.08593319846730768,88.98771391308819
190,2018-03-14,0.0061,0.010931299999999998,-0.0,-1.9008076923076926e-07,-7.5,-0.03623617560576921,88.95147773748242
191,2018-03-14,0.0061,0.010931299999999998,-0.0,-1.9008076923076926e-07,-7.5,-0.03623617560576921,88.91524156187666
192,2018-03-15,0.0091,0.00621226,-0.0,-2.2942115384615389e-07,-77.0,0.22233831457115388,89.13757987644782
193,2018-03-15,0.0052,0.0034684,-0.0,-1.4793826923076926e-07,-16.5,0.028568959018557688,89.16614883546637
194,2018-03-15,0.0091,0.00621226,-0.0,-2.2942115384615389e-07,-16.5,0.047643924550961544,89.21379276001734
195,2018-03-16,0.0035,0.00463649,-0.0,-1.0721307692307695e-07,-35.7,-0.04057652050684616,89.1732162395105
196,2018-03-16,0.0057,0.00913653,-0.0,-1.5858288461538464e-07,-7.649999999999999,-0.026290667659067304,89.14692557185143
197,2018-03-16,0.0035,0.00463649,-0.0,-1.0721307692307695e-07,-7.649999999999999,-0.00869496868003846,89.1382306031714
198,2018-03-19,0.004,0.00582075,-0.0,-1.3870423076923078e-07,-110.6,-0.2013902906879231,88.93684031248347
199,2018-03-19,0.0023,0.00351656,-0.0,-1.234669230769231e-07,-23.7,-0.028835398166076928,88.90800491431739
200,2018-03-19,0.004,0.00582075,-0.0,-1.3870423076923078e-07,-23.7,-0.04315506229026923,88.86484985202712
201,2018-03-20,0.0053,0.00512458,-0.0,-1.4237326923076925e-07,-116.9,0.020489954564826912,88.88533980659194
202,2018-03-20,0.0053,0.00512458,-0.0,-1.4237326923076925e-07,-25.05,0.004390704549605767,88.88973051114155
203,2018-03-20,0.0031,0.00544976,-0.0,-9.098711538461539e-08,-25.05,-0.05886376722724038,88.83086674391431
204,2018-03-21,0.0039,0.00584482,-0.0,-1.2241480769230768e-07,-102.2,-0.19877311479334614,88.63209362912097
205,2018-03-21,0.0039,0.00584482,-0.0,-1.2241480769230768e-07,-21.9,-0.042594238884288455,88.58949939023668
206,2018-03-21,0.0039,0.00584482,-0.0,-1.2241480769230768e-07,-21.9,-0.042594238884288455,88.54690515135239
207,2018-03-22,0.027000000000000003,0.00180535,-0.0,-2.2176730769230772e-07,-44.8,1.1287103848246154,89.675615536177
208,2018-03-22,0.046,0.00408287,-0.0,-2.3937500000000004e-07,-9.6,0.40240214999999996,90.078017686177
209,2018-03-22,0.046,0.00408287,-0.0,-2.3937500000000004e-07,-9.6,0.40240214999999996,90.480419836177
210,2018-03-23,0.005,0.0155359,-0.0,-8.682346153846157e-08,-21.0,-0.22125572329269233,90.25916411288432
211,2018-03-23,0.0145,0.0272413,-0.0,-1.458551923076923e-07,-4.5,-0.05733650634836538,90.20182760653596
212,2018-03-23,0.0355,0.0466733,-0.0,-1.587171153846154e-07,-4.5,-0.05028056422701925,90.15154704230893
213,2018-03-26,0.0001,0.00175807,-0.0,-7.812769230769232e-09,-4.9,-0.008124581282569232,90.14342246102636
214,2018-03-26,0.001,0.00487944,-0.0,-2.7793076923076922e-08,-1.05,-0.0040734411827307694,90.13934901984364
215,2018-03-26,0.005,0.013814600000000002,-0.0,-8.618442307692307e-08,-1.05,-0.009255420493644233,90.13009359934999
216,2018-03-27,0.0,0.000965504,-0.0,-4.745096153846155e-14,-94.5,-0.09124012800448411,90.0388534713455
217,2018-03-27,0.0001,0.00020581,-0.0,-2.553942307692308e-47,-20.25,-0.0021426525000000003,90.0367108188455
218,2018-03-27,0.0,0.000965504,-0.0,-4.745096153846155e-14,-20.25,-0.019551456000960882,90.01715936284455
219,2018-03-28,,9.52771e-10,,,-98.0,,
220,2018-03-28,,9.52771e-10,,,-21.0,,
221,2018-03-28,,0.0,,,-21.0,,
